category,tech1,description,fit,title,also_buy,tech2,brand,feature,rank,also_view,main_cat,similar_item,date,price,asin,details
"['Software', 'Education &amp; Reference', 'Religion']",,"['Powered by Pradis, packaged with the NIV and the NIV Exhaustive Concordance, the entire set of the Expositors Bible Commentary is now available on CD-ROM in a powerful, intuitive, and easily accessible format. Powered by Pradis, the Expositors Bible Commentary represents the best in evangelical scholarship committed to the divine inspiration, complete trustworthiness, and full authority of the Bible presented in a flexible format, bound to meet your study needs.', 'A triumph in evangelical scholarship, the Expositors Bible Commentary is the product of 78 of the worlds finest biblical scholars and 18 years of meticulous effort. Packaged with both the New International Version and the Zondervan NIV Exhaustive Concordance, now this Gold Medallion study tool comes to you on CD-ROM in the Pradis platform. Yours at instant command are all the verse-by-verse insights, all the in-depth notes--including footnotes containing the Greek and Hebrew--and all the outstanding features of the celebrated 12-volume print edition.', 'Easy-to-use Pradis interface is:', '', '', '']",,The Expositor's Bible Commentary 5.0 for Windows : The Complete Award-Winning 12-Volume Commentary,[],,Zondervan,[],"29,427 in Software (",['B013J9MH1I'],Software,,</div>,,031024837X,
"['Software', 'Education &amp; Reference', 'Religion']",,"['Powered by Pradis, the complete 4-volume set on one CD-ROM.', '', '']",,New International Dictionary of New Testament Theology 5.1 for Windows,[],,Zondervan,[],"41,249 in Software (",[],Software,,</div>,,0310248396,
"['Software', 'Education & Reference']",,"['Powered by Pradis, a CD-ROM featuring study notes from the best-selling Zondervan NIV Study Bible.']",,The Zondervan NIV Study Bible 5.1 for Windows,[],,Zondervan,"['Unlimited space for note taking', ""Provides scholars' study notes"", 'Powered by Pradis 5.1', 'Compatible with other Pradis titles']","22,024 in Software (","['B0009G2K12', '0310937221', '0966090918', 'B000021Y3I']",Software,,</div>,,0310258928,
"['Software', 'Education &amp; Reference']",,"['Powered by Pradis, The NIV on CD-ROM presents the full text of the most read and most trusted English Bible translation in a fully searchable electronic format.', '', '']",,NIV Holy Bible 5.1 for Windows - CD-ROM,[],,Zondervan,[],"14,173 in Software (",[],Software,,</div>,,0310258294,
"['Software', 'Education &amp; Reference', 'Religion']",,"['Powered by Pradis, a CD-ROM featuring study notes from the best-selling NIV Student Bible.', '', '']",,NIV Student Bible 5.1 for Windows,[],,Zondervan,"['Guided Tour of the Bible takes you on a 180-day journey featuring daily points of interest', '3-Track Reading Plan lets you read at your own pace', 'Highlights and Insights explain difficult verses, point out important facts and encourage reflection', 'Book Introductions and Overviews summarize the content and point out important themes and characters for each book of the Bible', ""Updated Subject Guide points to the Bible's message on topics of interest""]","30,426 in Software (",[],Software,,</div>,,031025888X,
"['Software', 'Business &amp; Office', 'Training']",,[],,Instructor's Resource Disk (With Premium Power Point) Corporate Finance,[],,Pearson Addison Wesley,"['Microsoft Excel Spreadsheets for selected chapter problems', 'Microsoft PowerPoint Presentations with lecture notes, book art, additional examples and calculator solutions', 'Test Bank with TestGen 7.2', 'Solutions Manual Microsoft Word and Adobe PDF Files', 'Test Bank Microsoft Word and Adobe PDF Files']","67,748 in Software (",[],Software,,</div>,,0321506847,
"['Software', 'Design &amp; Illustration', 'Training']",,"['For computers only (Win2000 or XP/Mac OSX), this DVD-Rom is packed with 28 fantastic how to video tutorials covering everything from painting with Photoshop Elements and retouching with the liquify effect, to better layer styles, and cropping techniques. Also includes every issue of Adobe Photoshop Elements Techniques from 2006 in PDF format (Acrobat Reader not included).', '', '']",,The Best of Adobe Photoshop Elements Techniques,[],,Adobe,"['DVD-Rom for computers only', 'Win2000 or XP/Mac OSX', 'Includes every issue of Adobe Photoshop Elements Techniques from 2006 in PDF format', '173 minutes']","14,452 in Software (",[],Software,,</div>,,0321510607,
"['Software', 'Education &amp; Reference']",,"['Adobe photoshop lightroom is the key to the new digital workflow. Now you can learn exactly how to get started, and see how photoshop lightroom can help you achieve the quickest, easiest workflow imaginable.', '', '']",,Adobe Photoshop Lightroom Basic Training,[],,National Association of Photoshop Professionals,"['Tips for quickly finding keeper images and deleting rejects', 'The best way to tone your photos', 'How to get stunning and vibrant color from your photos', 'Techniques for processing multiple photos as once']","21,456 in Software (",[],Software,,</div>,,0321529014,
"['Software', 'Photography']",,[],,Adobe Photoshop CS3 Layer Essentials,[],,Nationas Association of Photoshipo Professionals,[],"25,992 in Software (",[],Software,,</div>,$9.00,0321515129,
"['Software', 'Design &amp; Illustration', 'Training']",,"['Top 10 Tips, Working in Lightroom, classic Photoshop effects, the same tricks the pros use, speed clinic section, hand tinting, vectors, rasters...\nMore than 2 hours of nonstop, real-world effects, cool tips and amazing tricks.', '', '']",,The Best of Photoshop User The 11th Year,[],,Kelby Media Group,"['English', 'Color', 'Viewable only on a computer']","32,445 in Software (",[],Software,,</div>,$12.69,0321636864,
"['Software', 'Programming &amp; Web Development', 'Web Design', 'Web Page Editors']",,[],,Kelby Training Adobe Dreamweaver CS4 For Beginners DVD-ROM,[],,Kelby Training,[],"58,071 in Software (",[],Software,,</div>,,032168057X,
"['Software', 'Education &amp; Reference']",,"['Electronic Student Edition CD-ROM\n\nThis CD-ROM version of the textbook allows students, parents and teachers to access full text and images from the book.', '', '']",,enVisionMath Texas Electronic Student Edition - Kindergarten CD-ROM,[],,Pearson/Scott Foresman-Addison Wesley,[],"14,502 in Software (","['0328827347', '0328782254', '0328341762', '0328887099', '0328467952', '0328272795']",Software,,</div>,,0328307440,
"['Software', 'Education &amp; Reference', 'Test Preparation']",,"['Test Generator En espanol!', '', '']",,Electronic Teacher Tools Test Generator 1 En Espanol!,[],,McDougal Littell,"['Over 2000 pages of resource material on CD-ROM', 'View answers to each document', 'Quickly find Spanish translations', 'Create lesson plans that you can save, open &amp; edit', 'Create notes &amp; review documents']","25,713 in Software (",[],Software,,</div>,,0395969271,
"['Software', ""Children's"", 'Math']",,"['Help Clifford Prepare for his big birthday party by completing activities that develop problem solving, reasoning, and creativity.Decorate for his Birthday and Much more. Let the Fun Begin']",,Clifford The Big Red Dog Thinking Adventures CD-ROM Parent's Guide Ages 4-6,"['B00005NN16', 'B000E4WVX6']",,Clifford the Big Red Dog,"['Helps Problem Solving', 'Logic and Resoning', 'Creativity', 'Help Kids Build Skills', 'Great For Pre-school and Pre-K']","6,514 in Software (","['B00007M9T1', 'B00004TTUB', 'B0007SM8Q4', 'B00005NN16']",Software,,</div>,$9.95,0439215498,
"['Software', ""Children's"", 'Science &amp; Nature']",,"['Let Seemore Skinless teach your child about the human body and how it works!!\n My Amazing Human Body is the best introduction to the human body and its workings for young children.', '', '']",,My Amazing Human Body,[],,Scholastic,"['For ages 6-10.Windows 95/98/NT/2000/XPMacintosh System 7.0 including OS X Classic', 'An interactive journey inside your body.', 'Learn about the human body from the inside out through interactive games and activities.']","5,687 in Software (",[],Software,,</div>,$29.99,0439247926,
"['Software', ""Children's""]",,"['Includes the disc only. ls in good condition. No original jewel case, booklet or artwork. DISC ONLY!!!', '', '']",,Scooby-Doo: Showdown in Ghost Town,[],,Scooby Doo Showdown in Ghost Town,[],"4,690 in Software (",['B000ICNRX2'],Software,,</div>,$44.99,0439319005,
"['Software', 'Education &amp; Reference', 'Test Preparation']",,"['Phonics Alive! consists of 20 separate modules, each introducing a cluster of sounds presented as beginning, medial and ending sounds. The program introduces all single sounds of the alphabet, and sound blends. All instructions are presented orally with no reading ability required. The program contains over 1200 pictures introduced to extend the student\'s vocabulary. Each module then takes the student through a number of interactive levels requiring responses via the keyboard, as well as ""clicking"" and ""dragging"" pictures using the mouse. The program is self-paced in that students can work through each level within a module at their own speed. As a genuine self-paced interactive program, Phonics Alive! has the capacity to record student results for all responses. These are labeled and placed in a folder on the hard disk and can be retrieved by the teacher or parent for later analysis and printout. This can either be done from within the program or through any word processing application. The performance results can then be used diagnostically to determine whether a student needs further revision or can proceed to the next module.', '', '']",,Phonics Alive! (Grades K-3) [MAC/WIN],[],,"Advanced Software Party, LTD",[],"28,041 in Software (",[],Software,,</div>,,0439335280,
"['Software', ""Children's""]",,"[""Design and ride an infinite number of coasters in 18 different styles. Control all aspects of your par's business."", '', '']",,"Sim Coaster, 2001",[],,Electronics Arts Inc.,[],"6,159 in Software (",['B000056KDV'],Software,,</div>,,0439337011,
"['Software', ""Children's""]",,"['Challenge students to manage their own business with this multimedia simulation where they run a concession stand and are responsible for gathering information, keeping records, determining prices, and planning marketing strategies. Students practice critical math, problem-solving, and communication skills.', '', '']",,Hot Dog Stand: The Works,[],,Hot Dog Stand: The Works,"['Windows 3.1 to Win XP', 'Mac 7.0 and higher', '8 MB RAM', '256 color', 'released in 2000']","3,132 in Software (",[],Software,,</div>,,043934302X,
"['Software', ""Children's""]",,"['Geometry skills, visual thinking, and encourages creativity.', '', '']",,The Factory Deluxe,[],,Sunburst,"['Sharpens geometry skills,develops visual thinking, and encourages creativity.']","13,020 in Software (",[],Software,,</div>,$21.00,0439340071,
"['Software', ""Children's"", 'Games']",,"['PC game, comes with cd.', '', '']",,Where in the World Is Carmen San Diego?,['B000021YW8'],,The Learning Company,"['Learning with Carmen and gang', 'Easy to play', 'Fun for all Ages']","9,337 in Software (","['B006WNSHUY', 'B000SQKC4A', 'B00DTHJBDI', 'B00000DMFX', 'B00005BNLP']",Software,,</div>,,0439381681,
"['Software', ""Children's""]",,"['The Hit PBS KIDS TV series is Leap, Leap, Leaping onto your computer! - Zoboomafoo is the first wildlife series created especially with preschoolers in mind. Real life creature adventurers Chris and Martin Kratt join with a friendly lemur, Zoboomafoo, to host a lively group of animal friends in their adventure outpost Animal Junction.\nAnimal Race\nWho will win the Animal Race in Zobooland? Help Zoboos friends answer questions about the animals visiting Animal Junction and win the race.\n\nSnack Catcher\nLook out, the Snack Machine has exploded! Help Zoboo catch all the falling snacks in his basket.\n\nWho Could It Be?\nWhat animals did Zoboo see on his way to Animal Junction? Turn over the cards and find matches to see who it was.\n\nZobooland Coloring\nColor pictures of friends from Zobooland on your computer. Or print the pictures out and color them with your crayons, paints or markers. \n\nA complete Zoboomafoo interactive adventure! \n\nHours of fun and educational activities with Zoboo and his animal friends\nExpand critical thinking skills and gain animal knowledge 3 skill levels\nIncludes video and music from the hit PBS TV series \nExpand Skills In: \n\nCritical Thinking\nAnimal Knowledge\nSorting\nColor Identification\nCreativity\nLogic', '', '']",,"Zoboomafoo Animal Kids, PBS",['B001T8EL1Q'],,Simon &amp; Schuster,"['10 Fun and Educational Activities', '4 Zoboomafoo Songs', '6 Print and Do Creature Crafts, 3 Skill Levels Save Feature', 'A Complete Zoboomafoo Adventure', 'Video from the Hit PBS KIDS Television Series']","6,245 in Software (",[],Software,,</div>,$10.98,0439430321,
"['Software', ""Children's""]",,"['Math Essentials: Multiplication and Division (PC/Mac)', '', '']",,Math Essentials: Multiplication and Division (PC/Mac),[],,Sunburst,['Math'],"26,427 in Software (",[],Software,,</div>,,0439465699,
