overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,vote
3.0,False,"06 17, 2013",A1M4P30L5OACAI,0132147556,Steve Pickering,"This book served as the textbook for the first of a 3-course series on internet marketing for my MBA course.  While it was acceptable as a textbook - a broad survey of E-commerce for academic use - it would not be worth the considerable cost for someone who did not need it for a course.

For an academic course, the book serves as a base by providing definitions and explanations for a broad range of topics.  In my course, the book was used to introduce a number of topics that were discussed in further detail during class discussions, and it was supplemented by case studies, videos, and articles with more depth.  A non-academic reader would not have those enrichment elements available, thus would likely find the book less useful.

The book does not explain how to do anything (set up an online store, write a blog article, configure analytics, etc.).  It is a decent text for someone looking for a broad view of e-commerce with emphasis on defining terms and covering the big picture.

I do not recommend this book for anything other than a required course text.",OK as a Textbook - Not Written for General Reading,
4.0,True,"05 11, 2013",A23DD7WBLNKFTP,0132147556,Ivan Mercado,"I love how this book is structurated and the fact that it contains details graphics so the newbie cannot be lost at any minute.

Also, it has a pretty amazing list of sites and webmaster tools, which makes this book ""a must"" on everybodys Internet marketers shelf :)",Writing in plain english and a good aproximation to the Internet Markting world,
5.0,True,"04 14, 2013",AOQWD3PX50G5X,0132147556,Joy Ching,"Great on the delivery...doing my assignments as I write.  The shipping charge was a little pricy, but the book was in great condition (and did not smell like smoke...as other books I had purchased).  Thank you.",E-Marketing 6th ed.,
5.0,True,"03 2, 2013",AY92PG46ZKQBR,0132147556,Mark D New Jersey,The book was delivered faster then I had been told and was in great condition. This book is a required text for my college class and is well written.,Good condition,
2.0,True,"01 21, 2013",A35GEWDC14WGPG,0132147556,StlAmazon,"Required to buy this book for Marketing 3721 class and we rarely used it. Even when we did, I felt the text was out dated and not very informational.",Bought for school,2
1.0,True,"05 26, 2012",A3VJPFC93LY4OS,0132147556,WinterWonderLand,Didn't help me much in my course.  I didn't learn much from it.  Had to look information on web to pass my course.,Useless,
1.0,True,"05 2, 2012",A1N8M648G5E2BM,0132147556,Stephanie Tracey,"Disappointing textbook. To start, the lack of color is dismal, but of less importance. However, from a MARKETING book, I expected it to be a little more eye-grabbing.
More importantly this book regularly cites wikipedia as a source, and I caught at least two examples of incorrect information when discussing how companies fit certain profiles. In one example it states that Kit Kat is a Nestle brand when it is produced by Hershey's. It also uses companies as examples that have long since been bought out by other companies. While neither of these two items errodes the core idea of marketing, they were just easily spotted. It makes it difficult to trust the core information when something so simple as a little research could correct these errors. Along with the wikipedia citing, I don't know that I would trust this source as 'authoritive'",terrible textbook,
4.0,True,"08 29, 2011",A2CUJPF5AWEKIY,0132147556,Hoa Nguyen,"This book provides me many useful knowledge about E-marketing, from the most basic steps. So I really enjoy to read!",E-marketing,
4.0,False,"10 20, 2010",A38NELQT98S4H8,0321719816,WB Halper,"I've been using Dreamweaver (and it's predecessor Macromedia's UltraDev) for many years.  For someone who is an experienced web designer, this course is a high-level review of the CS5 version of Dreamweaver, but it doesn't go into a great enough level of detail to find it very useful.

On the other hand, this is a great tool for someone who is a relative novice at web design.  It starts off with a basic overview of HTML and continues through the concepts necessary to build a modern web site.  Someone who goes through this course should exit with enough knowledge to create something that does what you want it do do...within reason.  Don't expect to go off and build an entire e-commerce system with only this class under your belt.

It's important to note that there's a long gap from site design to actual implementation.  This course teaches you how to implement a design.  The user interface and overall user experience is a different subject that isn't covered here...it's possible to do a great implementation of an absolutely abysmal design.  I speak from experience.  :)

As I said above, if you're a novice, a relative newcomer or just an experienced web designer who wants a refresher course, this is a good way to do it.",A solid overview of Dreamweaver CS5,
4.0,False,"10 18, 2010",A3QJU4FEN8PQSZ,0321719816,Grimmy,"The demo is done with the PC version, with references to the Mac version when needed. The video is closed-captioned. You can set bookmarks. There are self-tests for each chapter as well.

Starts off with ""what is HTML"" and some other basic stuff. Includes topics such as: Planning your Website; Defining a site in DW; Creating a new web page; Adding Text; Formatting with CSS; Images and rich media; Links; Page layout w/ CSS; Tables; Forms; Reusable Content; Testing; etc. Each section has sub-sections with their own video, and some have sub-sub-sections to flesh out the material, such as the one regarding project management, or CSS, which includes discussion of CSS for print. It is not, however, a tutorial on ""the best way to lay out a site using CSS"" or anything like that. For that, you'll need a book or two on that subject.

She has a site that has some helpful resources, e.g. checklists for project management and site development, and helpful URLs. All in all, it's a decent introduction to creating web sites.

She sounds weird, though, like a robot (or Stephen Hawking's voicebox) with her halting, clipped delivery. She tends to be slightly chatty and repeat material, but it's not that bad; could be helpful for retention for people new to the subject.

UI - at the top of the interface, there's a ""Previous Video"" button and ""Next Video"" button. The ""Next Video"" button is disabled for the last video of each chapter, so to get to the next one you'll have to use other navigation. This is because the last item is the test. Kinda dumb UI choice, initially confusing. They could have changed it to read ""Take Test"" instead of putting up a virtual dead end. There is a sidebar which is normally hidden (you are cued that you can display it when the mouse strays into the video area), which has information on the current video and lists/links to the other videos in the chapter. The title bar (under the top-left tabs) is a dropdown to navigate the content.

There's a ""Watch and Work"" mode which shrinks the video display to let you work with your copy of DreamWeaver (not included). You can move the video window around BUT you CANNOT resize it - and it may be kind of tiny to watch in that mode. So if you have a dual monitor setup, you'll want to drag the Standard Mode video player to the other screen; Standard Mode cannot be resized to be smaller, either.

All in all, a good value if you want to learn DreamWeaver.",A good value,
5.0,False,"10 16, 2010",ACJT8MUC0LRF0,0321719816,D. Fowler,"If you've been wanting to learn how to create your own website, but have either lacked the confidence or knowledge, this affordable combination book and video course will enable you to learn at your own leisure.  There are more than twelve hours of video training included in this package, most of it split up in the small, absorbable sections.  This courseware is ""Certified Associate,"" approved courseware.  Dreamweaver is the premier product for website creation.  It offers several new advantages/features for the user.  It has improved dynamic applications, new CSS features that offer more control over your design, you can turn individual CSS properties on and off (you can see how they affect your designs), and you can fuse box model elements to troubleshoot directly within Dreamweaver.  If you are confident this DVD/book bundle is for you, you can simply bypass this review or read some shorter versions (this is a very long review).  If not, keep on reading.

With this software you'll learn a lot of basics, however, if you are already a web designer or have a lot of experience, you may find a lot of the material to be redundant.  On the other hand, if you are anxious to learn web design, this is the perfect place to start.  Taking a course can cost you a lot of $, but this course is quite affordable ... if you decide it is not for you, then you can hand it along to someone else.  You'll be getting more than twelve hours of video training from ""Adobe Certified Instructors"", a reference book, lesson files, and you can copy certain files to your iPhone, iPod, or iPad.

For the hearing impaired the script to the dialogue runs along the bottom as the narrator speaks. You can stop the video at any time to get a closer look at what is being done and/or absorb the material.  At the end of each section is a ""test"" to enable you to know just how you are progressing on each section.

If you are in a bookstore you can easily pick up a copy and glance at the book, but you cannot see what is on the DVD.  I'll try to describe what is on the DVD to the buyer can get a good understanding of what is on there and can decide if Adobe Dreamweaver CS5 is what they need. I've simply listed the few words under the contents and have tried to briefly explain what you'll be learning on the videos.

CONTENTS:

1) HTML Refresher - This is an excellent section for someone who already knows HTML, but could use a refresher in the form of a ""crash course.""  You'll find a URL overview, an HTML intro (tags, how some browsers read tags differently, and what Dreamweaver ""does behind the scenes).

2) Dreamweaver Introduction - You'll finally be able to learn what WYSIWYG is, you'll be introduced to Dreamweaver Design, Code, and split screens, and the welcome screen.  You'll learn about the Dreamweaver interface, the Workplace Switcher (the software's workplaces, arranging and saving your workspace), how to customize your workspace, setting up our preferences, an dhow to customize the insert bar.

3) Getting a Quick Start - You'll learn about several starter layouts you can customize with CSS, how to build a starter layout page, how to create and set up the header area on a homepage, how to add a navigation bar (shows how to customize with CSS), how to use CSS to format your main content, you'll learn how to add links using CSS formatting, how to modify HTML tags and background color using CSS, and how to add a page border.

4) Planning Your Website - You'll learn about project management (five videos), site development (two videos), and how to test your site (two videos).  You can opt to play all the videos in each section consecutively.

5) Defining a Site in Dreamweaver - You'll learn about defining a site, what the benefits there are to defining, the course setup (copying & storing the files you'll need for your website), defining a site in Dreamweaver, and how to use the files panel.

6) Creating a New Web Page - You'll learn how to create a web page by using the Welcome Screen, how to save a web page (considerations needed when naming a page), how to assign a proper title to a web page, and you'll learn what meta tags do and why they are important.

7) Adding the Tex Content - You'll learn three ways to add text to your webpage (typing, copying/pasting or importing), how to set up headings, how to create lists for web pages (unordered, ordered, and definition), several ways of highlighting text, and how to insert special characters.

8) Formatting Text with CSS - You'll receive an overview of text formatting options with CSS, you'll learn where you can manage and store the styles for you site, how to ""create a .CSS file and link your web pages to it,"" create styles for HTML tags, create class styles, edit styles, you'll learn how to add font styles (custom font stack), you'll learn about styles created by page properties, CSS styles for printing, and how to use the code navigator.

9) Images and Rich Media - You'll learn how to pick the right web image, how to choose the file format for your project, the importance of inserting alternate text, inserting images, understanding and creating file paths, you'll learn how to use the assets panel, how to modify images, you'll learn how to work with Photoshop Smart Objects, use Flash Files to enrich your site, use Flash Video (FLV), and will learn how to optimize the use of your favorites panel.

10) Creating Links - You'll learn where you can insert hyperlinks, the different kinds of links you can create, how you can link to an Internet resource, how you can create a ""local lin"" for a document within a single site, how to link to a Word or Microsoft Excel file, how to create an anchor link, how to create an email lin (with the recipients address pre-filled), you'll learn about images and image mapping (clickable hotspots), how to create rollover images, and how to insert a navigation bar (Fireworks).

11) Page Layout with CSS - You'll learn background information about CSS, how to master the mechanics of CSS page layout, how to understand the box model, how to insert a div tag, how to add different styles to your div tags so CSS can control you page content, you'll learn how to edit CSS style for a div tag, how to insert a div tag (increase your efficiency), options for using div tags, fine tuning your page with different styles, customize your links (make your site attractive and consistent), center your page content, use AP elements, use inspection tools to edit and troubleshoot, you'll learn about the four types of positioning with CSS, and you'll learn how to use CSS selector types and tools.

12) Tables - You'll learn how easy it is to create a table, options you can use to modify a table, use CSS for formatting tables (match text to the rest of your website), importing tabular data, merging and splitting table cells, working on rows and columns, and table alignment (border background colors, centering).

13) Forms - You'll learn how create a basic for, how to use text fields (common HTML elements), ensure ""user input gets back to you,"" form validation (checkboxes, submit buttons), how to validate forms, and use Spry for from validation (implement Ajax).

14) Reusable Content - You'll learn about templates and library items, how to use the library, modify a library item (keeping your pages contemporary), converting HTML to a template, creating additional pages based on your template, controlling and working with ""editable"" regions, template application, and you'll learn how to detach a page from a template.

15) Testing - You'll learn how to use the spell-checker, search for a fix broken links, how you can preview your work, how to check browser compatibility, dealing with browser issues, how to allow users to test your site and offer valuable feedback, learn about page loading time an dfile size, and Dreamweaver extensions.

16) Publishing and Maintenance - You'll learn how to manage you files, set up your web server to upload and download files directly to the site from Dreamweaver, learn how to expand files, incontext editing (allows non-technical users to edit the web page), Subversion control and integration features.

You'll also be treated to four bonus videos.  This was a long review, but hopefully anyone looking for core training in web communication will now know exactly what they will receive when they purchase this program.","This is excellent software for those who want to use it as a ""crash"" refresher course or for the wannabe web designer ...",3
5.0,False,"10 14, 2010",A2RQ0AT4XZUIXL,0321719816,Dr. Cathy Goodwin,"I've been working with Dreamweaver for a few years now - learning as I go. When I got a chance to request these videos, I thought I'd get a chance to learn Dreamweaver, finally, to maximize its capabilities. And I was totally blown away.

The videos are superb. The female voiceover is pleasant and very straightforward; there's no attempt at humor and no attempt to replicate a classroom course. The program uses live action sequences to walk us through specific examples, step by step. I was amazed at how many Dreamweaver features I haven't used, just because I didn't even notice they were there.

I am not a web designer but I do know HTML and some CSS. If you don't, I'm not sure the opening video will be enough. It's not like Wordpress where you just dive in.

The only negative comment I can offer is that the DVD was really hard to dig out of the box! Grab some scissors before getting started.",Wonderful introduction to Dreamweaver,
5.0,False,"10 12, 2010",AYUF7YETYOLNX,0321719816,Bryan Newman,"I've been creating websites with Dreamweaver for years now, and all that experience has taught me one thing - I'm a hack web designer.  Recently I have been trying to learn industry CSS standards and had heard that Dreamweaver has made great advances in CSS management in CS4 and CS5. I'm embarrassed to say what version I am using.

When I got a chance to get a reviewer copy of this training set I jumped for two reasons, first I was mulling over spending the money to upgrade to DW CS5 and I second I have always that I was missing out on a lot of DW's capabilities.  It's now obvious that I should upgrade for the CSS management upgrades alone.

As for the value of the training - I couldn't be happier.  This is not an advanced tips and tricks resource, nor is it an exhaustive boot camp in web page authoring, but it is a fairly thorough training taking you from site planning and design to creation and publishing.  I watched the videos from beginning to end and they start pretty basic with an HTML refresher then move to the meatier DW specific training.  I can see myself returning to several sections later to brush up.

Personally, the CSS, Media, and Forms training videos were enough to justify the price tag.  The training lessons were short and easily digestible.  I liked that it broke training into 3-10 minutes so I had some time to do a little more in-depth googling on subjects like text wrapping on absolute positioned CSS objects (which it won't.) or checking my version of DW.

  What this is
  - An Adobe Certification Training Aid - so it starts from a very low level introduction and  goes through the entire DW web creation process
  - A wonderfully designed interface
  - A great overview of using DW

What it isn't
  - A substitute for spending the time working with DW (but it will jump start a novice)
  - An expert tips and tricks reference

All in all, I highly recommend this to anyone trying to learn DW or even web design in general. The CSS placement section has been the most enlightening coverage of the topic I have been able to find.  The author's delivery on the videos is great and the interface is the best, most intuitive I have seen. The only bad thing I can say is that the closed captioning is defaulted on, so at times it covered the bottom of the properties table at the bottom of the screen. So sometimes I had to close it to see things the author was pointing out.  But all in all, this is an absolutely wonderful product.",A Fantastic Overview of Dream Weaver and Web Design in General,
5.0,False,"10 7, 2010",A31ICLWQ9CSHRS,0321719816,Al Swanson,"I decided (after trying a number of other products) to switch to the gold standard of web site management, Dreamweaver. I bought a few books, did some Lynda courses and still found myself wanting more. This was the perfect product for that ""more"".

I think some reviewers are confused about both Dreamweaver and this product - these aren't for ""design"". If you don't already know what you want to do, picking up Dreamweaver is not going to help! The product being reviewed here is how to use Dreamweaver - not how to design for the web. Both expect you already have the design part.

I used a pure HTML editor, which for beginners is the best way to go. You'll learn HTML and CSS along with exactly how your code changes your page. DW is more for time savings and automation. That said, it's also massively complex with a steep learning curve. And that's where Learn Adobe Dreamweaver comes in. It very clearly takes you through learning DW so that you can get on with designing web pages.

Excellent addition to my library and excellent companion to Dreamweaver itself. The only other thing you might need is one of the large reference books on DW to refer back to if you have questions.",Excellent Tutorials!,
5.0,False,"09 26, 2010",A2BVNVJOFXGZUB,0321719816,J. Howard,"The video is well-paced and delivered in an understandable manner.  It allows you to work with the software while watching and following the directions of instructor Candyce Mairs.  To me, the book is more of a reference guide, something I would access with a specific need or question, because overall I learn better by seeing and doing than by reading.  The video starts with the basics and builds logically.  This is everything you want in a teaching video/book!",Excellent.,
2.0,False,"09 24, 2010",A30X750M8V1XXW,0321719816,Scott,"I've taken classes, read books and did the dummies books but can't seem to learn Dreamweaver well enough to design a web site the way I want. I had really hoped that this dvd video that is ""Adobe Approved"" would have helped, but it fell short. First off I do want to give kudos for the way the software interface is designed. They made it very easy to navigate and find specific contents and general ease. Candyce Mairs, the teacher, gives excellent explanations and speaks clearly and at a good pace. The pace isn't too fast or too slow and I never had to rewind to listen to instructions over and over.

The course begins with the absolute basics so this is where it really breaks everything down about Dreamweaver. Being I knew most of the basics, after an hour, skipped some of it because I already knew it. The first problem I have with this training video is that you are taught to design websites from 1990. The look of them is so out dated and old its a waste of time learning it this way because anyone wanting to design a web site would not want one that looks so out dated and blah. When the videos finally get around to showing the ""CSS"" style designing, they show an example of a web site that is current in design and style. Exactly what I was wanting to learn but they don't use it for the training...WHAT? are they joking? They go back to the 1990 styled site that they show you in the beginning of these videos and TRY to update and revamp it into CSS. I wanted to focus on the CSS portion because for my needs, this is the missing info that has held me back on finally learning and make a modern web site using Dreamweaver.

The sample that they should have used to teach the CSS had many bells and whistles like when you scroll thru the site the background didn't move. The background was a great illustration photo! Then there were great drop down sub nav links that all had different colors, maps, columns, video etc. Again, all the modern bells and whistles. Yes, they do teach many of these features but in the OLD 1990 style, not in the CSS which is a complete different way of putting things into the program. I really wish they used the sample which they showed about how great CSS is. TOTAL BUMMER!!!!

I have plenty of experience with web design, i'm no expert but have worked with many programs over the years as well as designed many custom sites that look modern. But unfortunately, I still am on the search to find the info I need to use Dreamweaver the way I want.",Doesn't teach modern website design!,2
5.0,False,"08 22, 2010",A1YA485UEJ5JZA,0321719816,Dennis Woodhall,"Candyce Mairs' offering is not only excellent, it is ""distintive.""  Her presentational style is perfectly paced, and always directly to the point at hand.  I learned so much about Adobe's new version of Dreamweaver (CS5), that I cannot begin to explain.  Of particular note are the ""assets"" (Dreamweaver and related files) which are included on the DVD, making personal practice of the skills learned a snap.  For those new to web design, Candyce covers many foundational skills (such as HTML and CSS), along with Dreamweaver-specific functionality.  I would give this title six (6) stars, if I could.  In addition to thanking Candyce Mairs, I also applaud the folks at Video2Brain.  Great pedagogical tools!  Thank you to all who facilitated my learning of the CS5 in a ""ramped up"" fashion.
Dennis Woodhall, M.I.S., Woodhall Web Design and Hosting.",Hurry and purchase this title NOW!,
5.0,False,"04 7, 2011",A2JMJVNTBL7K7E,0321719816,Yesuaini99,"I spent several hours on the lesson and I love it.
It is very detailed and very clear.
The instructions with the graph and the audio and the video playback is very nice.
You can cut or repeat any lesson you need and come back and review at your convenience.
The lesson starts with very fundamental knowledge of what an URL is and allow the students to know what is the source code, the layout and how to use the tools and maneuver in the Dreamweaver app.
It is an excellent tool to have.
Most of us uses some of the tools but not all of the tools.  Some I don't even know the function was there.
It is nice to have a teacher like this I can go to easily without calling expensive tech support.
Highly recommend this teaching series.",excellent video training material,
3.0,True,"01 25, 2011",AN4Y087DP2VZV,0321719816,Bernie V. Chiaravalle,"I'm about 3/4 through this course.  I have been using Dreamweaver for about 10 years but find it's good to take a course now and then to learn more about the program.  I mostly learned by myself so it's good to learn things I wasn't aware of.

I find the instructors voice pleasant and thorough although I thought it took way too long to get down to business.  I didn't really feel like I was learning or doing anything until well into the lessons.  She also seemed to wander off course to much for my liking.

I also found that she didn't prep me well enough for each lesson by telling me what files I needed and setting up Dreamweaver for each lesson.  I was frequently going to the DVD's Assets folder to get files that were missing from the lessons.  Luckily I have been using Dreamweaver long enough to know how to troubleshoot and find the missing parts.  But I wonder if a beginner would get confused and not know what to do without careful lesson setup.

And I could swear there were a few mistakes on the lesson's end in the quiz answers at the end of each lesson.  Some questions were confusing.

All in all this is great way to learn visually.  Much better than a book in my opinion.  But I would ask for a good deal more attention in not leaving the student in the dark at times.",Pretty good but some shortcomings,2
4.0,False,"01 25, 2011",A3EZEP0FX5BC1P,0321719816,A Conrad,"This is my honest review of the Adobe Dreamweaver Learn by Video.  The DVD comes in a standard plastic disc holder in a cardboard box, which is part of the whole box package.  It DOES NOT come with Dreamweaver CS5.

I thought it was a standard video DVD.  It is in fact a program that has to be executed (without installing anything on your computer.)  I am running it on a PC workstation.  My antivirus/spyware programs have not gone off yet, so there does not seem to be any malware associated with it.

The video contains over 12 hours of video instruction, and is accompanied by a printed guide book to teach the fundamentals of Adobe Dreamweaver CS5.  It also goes through some basic principles and fundamentals of web design.  The presenter (Candyce Mairs) is a clear and eloquent speaker, and is an Adobe Certified Instructor.  The video runs in the middle of the window, and you can select to have the sidebar available or hidden.

First few chapters are very basic.  It is intended for those who have little or no background/experience with the terminology, such as ""URL"" and ""domain name.""  Yeah, it's goes to the fundamentals.  I like the subtitle at the bottom of the video.  The first few chapters are so basic that I actually started writing this review while I the video is running on the other monitor (I have a dual-monitor setup).  The first chapter is dedicated to HTML fundamentals and also acts as a refresher for those who have the experience.  The second chapter is an introduction to what Dreamweaver is and what it can do.  Chapter 3 is a ""Quick Start"" chapter that gets the user setup with putting together a homepage (basic starter layouts, building the homepage, creating header area, etc.).  There are some tests at the end of each chapter to help reinforce what you've learned.

What I liked:
-This is a book designed for beginners.  As such, the first few chapters will be mostly overview and fundamentals.
-The DVD comes with a guide book.  It helps with the video, and it can be brought around so you can read it without the video.
-The course layout is logical, and therefore it makes sense.  I've seen so many poorly designed guides that jump all over the place, and this video guide is not one of these.
-Having the a ""video"" of what the speaker is talking about really helps.  You can follow what the screen should look like.
-The caption at the bottom of the video.  This was such a major positive.  A+++

What I did not like:
-The startup was not as straightforward as I expected.  Again, no big deal, but I can see how this could be a problem for those who do not know how to enable autostart, or those whose antivirus prevents the startup of an .exe file.
-The DVD could have came with the trial version of Dreamweaver.  No big deal if you have a fast internet connection, but I know a few people who are stuck with a slow DSL speed.

In the end, you'll be familiar with the program's interface, and hopfully you will learn how to use the essential commands and tools to create and design websites.  It also identifies some areas that are typically and easily overlooked.

The book (printed guide) is glued onto the packaging with those sticky gel dots.  Though it can be separated from the box, it was not immediately obvious and I ended up carrying the entire package with me.  I wish the book was kept separated or maybe in a pocket.  No big deal.

Overall, it is a nice beginner's guide to becoming familiar with and using Adobe Dreamweaver CS5.  Highly recommended.",A very good video course to learn the basics of Dreamweaver,2
5.0,False,"01 8, 2011",A14JBDSWKPKTZA,0321719816,Bob Feeser,"I have had Dreamweaver MX2004 since it came out back then. Spent years with it. Feel like I know it real well, but I am still familiar with tables as opposed to CSS. So I thought this would be a great introduction, and it is. The problem is that while I am looking at the video, and that simplifies things a lot, I am not getting the intuitive explanation as to why things work the way they do. I understand just knowing how to work them is sufficient. I'm tempted to delve into the rich full attributes of Dreamweaver CS5 as explained by this video, albeit difficult to understand the more advanced features, but I won't because this is about the video.

The opening salvo is chock full of... for example, this is the URL; this is where you type in the address bar etc. Only when you start to get into areas such as CSS do you get an introduction that for me is beneficial, and that is only because I am somewhat of a newbie to it. So there you have it, do you get an advanced lesson that flies through things and most find it hard to understand, or do you get this one and appreciate the fact that she walks you through everything step by step, even at the risk of boring the more in the know people, but finally arriving at the section you need to learn, and then appreciate that she is not moving at lightning speed.

I'm holding off buying Dreamweaver CS5, although I got the upgrade to Photoshop CS5 and love it, because my MX2004 is not an eligible upgrade version. If I could qualify for the upgrade I would grab it, but the learning curve of CSS, and the steep price for the full version when I have MX2004 already is giving me some hesitation. If I was to upgrade, or should I say take the leap to the full version, this tutorial is the one I would use, and I also recommend the&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Adobe-Dreamweaver-CS5-on-Demand/dp/0789744449/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Adobe Dreamweaver CS5 on Demand</a>&nbsp;which makes a very good reference guide.
At some point I will get the new version of CS5 Dreamweaver, and at that point I will do the entire video series, and have a much more in depth analysis of it. But from what I can see after viewing a bunch of the video tutorials, it is the easiest way to indoctrinate you to the newest version. So I recommend it.",Great Video for a Difficult at Times Program,
